m_phi,width_central,width_lower,width_upper
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1414213562373095,0.0,0.0,0.0
0.17320508075688773,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22360679774997896,0.0,0.0,0.0
0.2449489742783178,0.0,0.0,0.0
0.2645751311064591,0.0,0.0,0.0
0.282842712474619,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.31622776601683794,0.0,0.0,0.0
0.33166247903553997,0.0,0.0,0.0
0.34641016151377546,0.0,0.0,0.0
0.36055512754639896,0.0,0.0,0.0
0.37416573867739417,0.0,0.0,0.0
0.3872983346207417,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.41231056256176607,0.0,0.0,0.0
0.4242640687119285,0.0,0.0,0.0
0.43588989435406733,0.0,0.0,0.0
0.4472135954999579,0.0,0.0,0.0
0.458257569495584,0.0,0.0,0.0
0.469041575982343,0.0,0.0,0.0
0.47958315233127197,0.0,0.0,0.0
0.4898979485566356,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5099019513592785,0.0,0.0,0.0
0.5196152422706632,0.0,0.0,0.0
0.5291502622129182,0.0,0.0,0.0
0.5385164807134504,0.0,0.0,0.0
0.5477225575051661,0.0,0.0,0.0
0.5567764362830022,0.0,0.0,0.0
0.565685424949238,0.0,0.0,0.0
0.5744562646538028,0.0,0.0,0.0
0.5830951894845301,0.0,0.0,0.0
0.5916079783099616,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.6082762530298219,0.0,0.0,0.0
0.6164414002968976,0.0,0.0,0.0
0.6244997998398398,0.0,0.0,0.0
0.6324555320336759,0.0,0.0,0.0
0.6403124237432849,0.0,0.0,0.0
0.648074069840786,0.0,0.0,0.0
0.6557438524302001,0.0,0.0,0.0
0.6633249580710799,0.0,0.0,0.0
0.6708203932499369,0.0,0.0,0.0
0.6782329983125268,0.0,0.0,0.0
0.6855654600401044,0.0,0.0,0.0
0.6928203230275509,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.7071067811865476,0.0,0.0,0.0
0.714142842854285,0.0,0.0,0.0
0.7211102550927979,0.0,0.0,0.0
0.7280109889280518,0.0,0.0,0.0
0.7348469228349535,0.0,0.0,0.0
0.7416198487095663,0.0,0.0,0.0
0.7483314773547883,0.0,0.0,0.0
0.754983443527075,0.0,0.0,0.0
0.7615773105863908,0.0,0.0,0.0
0.7681145747868608,0.0,0.0,0.0
0.7745966692414834,0.0,0.0,0.0
0.7810249675906654,0.0,0.0,0.0
0.7874007874011811,0.0,0.0,0.0
0.7937253933193772,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.806225774829855,0.0,0.0,0.0
0.812403840463596,0.0,0.0,0.0
0.8185352771872451,0.0,0.0,0.0
0.8246211251235321,0.0,0.0,0.0
0.8306623862918076,0.0,0.0,0.0
0.8366600265340756,0.0,0.0,0.0
0.8426149773176358,0.0,0.0,0.0
0.848528137423857,0.0,0.0,0.0
0.8544003745317531,0.0,0.0,0.0
0.8602325267042626,0.0,0.0,0.0
0.8660254037844386,0.0,0.0,0.0
0.8717797887081347,0.0,0.0,0.0
0.8774964387392122,0.0,0.0,0.0
0.8831760866327847,0.0,0.0,0.0
0.8888194417315589,0.0,0.0,0.0
0.8944271909999159,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.9055385138137417,0.0,0.0,0.0
0.9110433579144299,0.0,0.0,0.0
0.916515138991168,0.0,0.0,0.0
0.9219544457292888,0.0,0.0,0.0
0.9273618495495703,0.0,0.0,0.0
0.9327379053088815,0.0,0.0,0.0
0.938083151964686,0.0,0.0,0.0
0.9433981132056604,0.0,0.0,0.0
0.9486832980505138,0.0,0.0,0.0
0.9539392014169457,0.0,0.0,0.0
0.9591663046625439,0.0,0.0,0.0
0.9643650760992956,0.0,0.0,0.0
0.9695359714832659,0.0,0.0,0.0
0.9746794344808964,0.0,0.0,0.0
0.9797958971132712,0.0,0.0,0.0
0.9848857801796105,0.0,0.0,0.0
0.9899494936611666,0.0,0.0,0.0
0.99498743710662,1.4240255288869497e-07,5.329496006011263e-08,2.74437936571801e-07
1.0,7.033089332506466e-07,2.619507910372355e-07,1.358294767831243e-06
1.004987562112089,5.677733739259232e-07,2.1539993765549367e-07,1.087646197404706e-06
1.0099504938362078,4.852888154714368e-07,1.8329702871649707e-07,9.314594292974481e-07
1.014889156509222,4.371232320926781e-07,1.639296937785488e-07,8.416660479051074e-07
1.019803902718557,3.940380155527645e-07,1.4685764752894631e-07,7.607831584451162e-07
1.02469507659596,3.5924463263191914e-07,1.33228713916886e-07,6.951145600999178e-07
1.0295630140987,3.315493518921157e-07,1.2242696933186588e-07,6.427401932997712e-07
1.03440804327886,3.0820706256345634e-07,1.133348206043258e-07,5.985739629159282e-07
1.0392304845413265,2.8914731276329316e-07,1.0589491693497074e-07,5.625501063276018e-07
1.044030650891055,2.7175060541231055e-07,9.913661136489242e-08,5.295973766731592e-07
1.0488088481701516,2.5673249534604445e-07,9.331939497406067e-08,5.011129308359453e-07
1.0535653752852738,2.443950320881441e-07,8.853045891122235e-08,4.777378571494766e-07
1.0583005244258363,2.3441938937423171e-07,8.464025538548888e-08,4.5888097370421173e-07
1.063014581273465,2.2629138820483266e-07,8.144171971320646e-08,4.4358521313987665e-07
1.0677078252031311,2.1965609861732357e-07,7.880235086279883e-08,4.3116571576754905e-07
1.0723805294763609,2.1391537184078133e-07,7.64989001726588e-08,4.2046843839692785e-07
1.0770329614269007,2.0915497110809342e-07,7.455315371588692e-08,4.11682694514455e-07
1.0816653826391966,2.054498116661202e-07,7.298790977846536e-08,4.0496511009730466e-07
